symbol
MSFT
AAPL
AMZN
TSLA
GOOGL
GOOG
FB
NVDA
BRK.B
JPM
JNJ
UNH
HD
PG
V
BAC
ADBE
DIS
CRM
NFLX
MA
XOM
PYPL
TMO
PFE
CMCSA
CSCO
ACN
MRK
ABT
COST
PEP
AVGO
NKE
KO
CVX
WMT
LLY
VZ
WFC
ABBV
INTC
DHR
MCD
T
TXN
QCOM
LIN
INTU
LOW
AMD
NEE
MDT
ORCL
UNP
HON
UPS
PM
MS
NOW
GS
AMAT
BLK
C
RTX
SBUX
BMY
ISRG
TGT
AMT
CVS
SCHW
AMGN
BA
GE
SPGI
CAT
AXP
PLD
IBM
MMM
ZTS
ANTM
BKNG
MRNA
DE
COP
ADI
ADP
SYK
PNC
CHTR
MDLZ
LRCX
GM
TFC
TJX
CB
GILD
LMT
MO
MMC
USB
MU
CSX
CME
EL
CCI
DUK
SHW
ICE
F
EW
CI
EQIX
TMUS
NSC
ADSK
BDX
FIS
ETN
COF
REGN
APD
ITW
SO
AON
CL
MCO
KLAC
WM
ILMN
D
HCA
DXCM
FISV
BSX
FDX
HUM
NXPI
EMR
ECL
PGR
MSCI
SPG
IDXX
FCX
NOC
DG
EOG
ATVI
EXC
JCI
SNPS
AIG
ROP
TEL
CMG
PSA
INFO
VRTX
TROW
CDNS
ALGN
XLNX
EBAY
IQV
APTV
A
APH
BK
MET
SLB
CARR
FTNT
GD
MCHP
MAR
LHX
KMB
DLR
SIVB
NEM
ORLY
MTCH
PRU
CNC
TT
TWTR
DOW
MSI
PXD
PH
ROST
AEP
CTSH
BIIB
DD
HLT
MPC
EA
SRE
GPN
SYY
ROK
PAYX
O
BAX
TRV
AZO
PPG
FRC
CTAS
RMD
GIS
SBAC
HPQ
YUM
STZ
ADM
ANSS
WBA
CBRE
IFF
STT
VRSK
OTIS
AMP
CTVA
EFX
ALL
MCK
AFL
WMB
MTD
DFS
KEYS
XEL
WELL
CMI
PSX
FAST
ODFL
AJG
TDG
ETSY
NUE
MNST
ENPH
KMI
AVB
CPRT
AME
PEG
WST
ZBRA
ALB
VLO
PCAR
AWK
FITB
OXY
BLL
SWK
WLTW
KR
DHI
LUV
ANET
BBY
ES
ZBH
WY
GNRC
ARE
EQR
SWKS
WEC
OKE
GLW
RSG
FTV
URI
KSU
LEN
IT
LH
SYF
DVN
EXR
ED
DAL
MLM
VMC
NTRS
HSY
CDW
DLTR
HIG
TSCO
DOV
NDAQ
PAYC
KMX
KHC
EIX
TSN
VFC
LYB
XYL
HBAN
RF
IR
MAA
MPWR
HES
TER
KEY
EXPE
VRSN
TTWO
CERN
PPL
EXPD
TYL
CTLT
DTE
CHD
HAL
STE
TRMB
VIAC
AEE
CZR
ESS
GRMN
WAT
DRE
FE
GWW
POOL
TDY
ULTA
COO
ETR
BKR
CFG
NTAP
MKC
CLX
BBWI
FLT
HPE
VTR
BR
MTB
RCL
PKI
TECH
FANG
GPC
STX
IP
CRL
DRI
MGM
ABC
DPZ
AMCR
RJF
CINF
CE
PEAK
J
HOLX
CCL
AVY
AKAM
IEX
CTRA
DGX
CMS
WAB
QRVO
PFG
NVR
TXT
WDC
BIO
AES
JBHT
VTRS
ABMD
CDAY
BXP
TFX
MAS
K
PWR
UAL
CAG
LKQ
CNP
UDR
AAP
MKTX
EMN
EVRG
NLOK
OMC
BRO
CAH
KIM
LYV
CBOE
IPG
FBHS
LNT
WHR
LUMN
SJM
FMC
IRM
MOS
RHI
FFIV
FOXA
AAL
LVS
MRO
BF.B
PTC
PKG
WRK
PHM
HST
LDOS
INCY
LNC
CHRW
CF
PNR
ATO
HRL
HAS
XRAY
HWM
CTXS
JKHY
ALLE
TPR
CMA
L
REG
SNA
BWA
WRB
APA
HSIC
RE
ZION
AOS
JNPR
BEN
NCLH
MHK
NI
AIZ
WYNN
UHS
SEE
NWSA
DISH
OGN
NWL
FRT
IVZ
NRG
TAP
GL
PENN
PVH
DXC
CPB
LW
ROL
HII
PBCT
NLSN
WU
DISCK
PNW
DVA
ALK
VNO
HBI
IPGP
RL
LEG
FOX
GPS
UAA
UA
DISCA
NWS
A2M.AX
AAA.AX
ABC.AX
ABP.AX
AFI.AX
AGL.AX
AIA.AX
ALD.AX
ALL.AX
ALQ.AX
ALU.AX
ALX.AX
AMC.AX
AMP.AX
ANN.AX
ANZ.AX
APA.AX
APE.AX
APT.AX
APX.AX
ARB.AX
ARG.AX
AST.AX
ASX.AX
AWC.AX
AZJ.AX
BAP.AX
BEN.AX
BGA.AX
BHP.AX
BIN.AX
BKW.AX
BLD.AX
BOQ.AX
BPT.AX
BRG.AX
BSL.AX
BWP.AX
BXB.AX
CAR.AX
CBA.AX
CCL.AX
CCP.AX
CDA.AX
CGF.AX
CHC.AX
CHN.AX
CIA.AX
CIM.AX
CLW.AX
CMW.AX
CNU.AX
COH.AX
COL.AX
CPU.AX
CQR.AX
CSL.AX
CSR.AX
CTD.AX
CWN.AX
CWY.AX
DEG.AX
DHG.AX
DMP.AX
DOW.AX
DRR.AX
DXS.AX
EBO.AX
ELD.AX
EML.AX
EVN.AX
EVT.AX
FBU.AX
FLT.AX
FMG.AX
FPH.AX
GMG.AX
GNE.AX
GOZ.AX
GPT.AX
GXY.AX
HLS.AX
HVN.AX
IAG.AX
IEL.AX
IFL.AX
IFT.AX
IGO.AX
ILU.AX
IOO.AX
IOZ.AX
IPL.AX
IRE.AX
IVV.AX
JBH.AX
JHX.AX
LFG.AX
LFS.AX
LLC.AX
LNK.AX
LYC.AX
MCY.AX
MEZ.AX
MFG.AX
MGF.AX
MGOC.AX
MGR.AX
MIN.AX
MLT.AX
MP1.AX
MPL.AX
MQG.AX
MTS.AX
NAB.AX
NCM.AX
NEC.AX
NHF.AX
NIC.AX
NSR.AX
NST.AX
NUF.AX
NWL.AX
NXT.AX
ORA.AX
ORE.AX
ORG.AX
ORI.AX
OSH.AX
OZL.AX
PBH.AX
PDL.AX
PLS.AX
PME.AX
PMGOLD.AX
PMV.AX
PNI.AX
PNV.AX
PPT.AX
PTM.AX
QAN.AX
QBE.AX
QUB.AX
REA.AX
REH.AX
RHC.AX
RIO.AX
RMD.AX
RRL.AX
RWC.AX
S32.AX
SCG.AX
SCP.AX
SDF.AX
SEK.AX
SGM.AX
SGP.AX
SGR.AX
SHL.AX
SKC.AX
SKI.AX
SLK.AX
SNZ.AX
SOL.AX
SPK.AX
STO.AX
STW.AX
SUL.AX
SUN.AX
SVW.AX
SYD.AX
TAH.AX
TCL.AX
TLS.AX
TLT.AX
TNE.AX
TPG.AX
TWE.AX
TYR.AX
VAP.AX
VAS.AX
VCX.AX
VEA.AX
VEU.AX
VGS.AX
VOC.AX
VTS.AX
VUK.AX
WAM.AX
WBC.AX
WEB.AX
WES.AX
WOR.AX
WOW.AX
WPL.AX
WPR.AX
WTC.AX
XRO.AX
YAL.AX
Z1P.AX
ZIM.AX
III.L
ABF.L
ABDN.L
ADM.L
AAL.L
ANTO.L
AHT.L
AZN.L
AUTO.L
AVST.L
AVV.L
AV.L
BME.L
BA.L
BARC.L
BDEV.L
BKG.L
BHP.L
BP.L
BATS.L
BLND.L
BT-A.L
BNZL.L
BRBY.L
CCH.L
CPG.L
CRH.L
CRDA.L
DARK.L
DCC.L
DGE.L
ENT.L
EVR.L
EXPN.L
FERG.L
FLTR.L
FRES.L
GSK.L
GLEN.L
HLMA.L
HL.L
HIK.L
HSBA.L
IMB.L
INF.L
IHG.L
ICP.L
IAG.L
ITRK.L
ITV.L
JD.L
JMAT.L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSEG.L
MNG.L
MGGT.L
MRO.L
MNDI.L
NG.L
NWG.L
NXT.L
OCDO.L
PSON.L
PSH.L
PSN.L
PHNX.L
POLY.L
PRU.L
RKT.L
REL.L
RTO.L
RMV.L
RIO.L
RR.L
RDSA.L
RDSB.L
RMG.L
SGE.L
SBRY.L
SDR.L
SMT.L
SGRO.L
SVT.L
SN.L
SMDS.L
SMIN.L
SKG.L
SPX.L
SSE.L
STJ.L
STAN.L
TW.L
TSCO.L
ULVR.L
UU.L
VOD.L
WTB.L
WPP.L
AIR.DE
ADS.DE
ALV.DE
BAS.DE
BAYN.DE
BEI.DE
BMW.DE
BNR.DE
CON.DE
1COV.DE
DAI.DE
DHER.DE
DB1.DE
DBK.DE
DPW.DE
DTE.DE
EOAN.DE
FME.DE
FRE.DE
HEI.DE
HFG.DE
HEN3.DE
IFX.DE
LIN.DE
MRK.DE
MTX.DE
MUV2.DE
PAH3.DE
PUM.DE
QIA.DE
RWE.DE
SAP.DE
SRT3.DE
SIE.DE
ENR.DE
SHL.DE
SY1.DE
VNA.DE
VOW3.DE
ZAL.DE
6857.T
8267.T
5201.T
2802.T
6770.T
6113.T
9202.T
8304.T
2502.T
3407.T
4503.T
7832.T
5108.T
7751.T
6952.T
9022.T
9502.T
4519.T
7762.T
1721.T
7186.T
8253.T
4751.T
7912.T
8750.T
4568.T
6367.T
1925.T
8601.T
2432.T
4061.T
6902.T
4324.T
4631.T
5714.T
9020.T
6361.T
4523.T
5020.T
6954.T
9983.T
6504.T
4901.T
5803.T
6702.T
8354.T
5801.T
6674.T
1808.T
7205.T
6305.T
7004.T
6501.T
7267.T
5019.T
7013.T
1605.T
3099.T
7202.T
8001.T
3086.T
8697.T
6178.T
2914.T
5411.T
1963.T
6473.T
1812.T
4452.T
7012.T
9107.T
9433.T
9008.T
9009.T
2801.T
2503.T
5406.T
6301.T
9766.T
4902.T
6326.T
3405.T
6971.T
4151.T
2413.T
8002.T
1333.T
8252.T
8628.T
7261.T
2269.T
6479.T
4188.T
8058.T
6503.T
8802.T
7011.T
9301.T
5711.T
7211.T
8306.T
8031.T
4183.T
7003.T
8801.T
5706.T
9104.T
8411.T
8725.T
6701.T
3659.T
5333.T
2282.T
2871.T
7731.T
5214.T
9062.T
5703.T
3863.T
5202.T
5401.T
1332.T
9432.T
9101.T
4021.T
7201.T
2002.T
3105.T
6988.T
8604.T
6471.T
6472.T
9613.T
1802.T
9007.T
3861.T
6703.T
6103.T
7733.T
6645.T
9532.T
4578.T
5541.T
6752.T
4755.T
6098.T
8308.T
7752.T
2501.T
7735.T
9735.T
6724.T
1928.T
3382.T
6753.T
1803.T
4063.T
8303.T
4507.T
4911.T
4004.T
9412.T
9434.T
9984.T
2768.T
8630.T
6758.T
7270.T
3436.T
4005.T
8053.T
4506.T
5802.T
6302.T
5713.T
8316.T
8309.T
5232.T
8830.T
7269.T
8795.T
5233.T
1801.T
6976.T
2531.T
8233.T
4502.T
6762.T
3401.T
4543.T
8331.T
5631.T
9503.T
8355.T
5101.T
9001.T
9602.T
5707.T
5301.T
8766.T
4043.T
9501.T
8035.T
9531.T
8804.T
9005.T
3289.T
7911.T
3402.T
4042.T
5332.T
5901.T
3101.T
7203.T
8015.T
4704.T
4208.T
3103.T
9021.T
7951.T
7272.T
9064.T
6506.T
6841.T
4689.T
