,predicted
413,0.42005533
414,0.33806005
415,0.30753234
416,0.35825762
417,0.7225533
418,0.7599088
419,0.55465084
420,0.5095241
421,0.48615694
422,0.49561918
423,0.5184352
424,0.56067735
425,0.5686109
426,0.47280475
427,0.48486716
428,0.5603367
429,0.5662121
430,0.61143315
431,0.5903441
432,0.61132437
433,0.38679665
434,0.5398778
435,0.55968153
436,0.6766263
437,0.68497074
438,0.65688807
439,0.3852166
440,0.59784746
441,0.47387865
442,0.5585883
443,0.45393753
444,0.4750753
445,0.24892378
446,0.24202749
447,0.4746463
448,0.7169066
449,0.6925059
450,0.60321623
451,0.487869
452,0.43484446
453,0.41098428
454,0.35105813
455,0.63751066
456,0.544484
457,0.490575
458,0.4416209
459,0.39062923
460,0.44220406
461,
